PROVNUM,PROVNAME,Provider Address,Telephone Number,Provider Resides in Hospital,Provider Type,COUNTY_NAME,ZIP Code
335254,ACADIA CENTER FOR NURSING AND REHABILITATION,1146 WOODCREST AVENUE,6317277744,N,Medicare and Medicaid,Suffolk,11901
335255,ELM MANOR NURSING AND REHABILITATION CENTER,210 N MAIN STREET,5853943883,N,Medicare and Medicaid,Ontario,14424
335256,THE PINES AT CATSKILL CENTER FOR NURSING & REHAB,154 JEFFERSON HEIGHTS,5189435151,N,Medicare and Medicaid,Greene,12414
335257,FORT TRYON CENTER FOR REHABILITATION AND NURSING,801 W 190TH ST,2125436400,N,Medicare and Medicaid,New York,10040
335259,WATERVIEW HILLS REHABILITATION AND NURSING CENTER,537 ROUTE 22,9142773691,N,Medicare and Medicaid,Westchester,10578
335261,THE PARAMOUNT AT SOMERS REHAB AND NURSING CENTER,ROUTE 100,9142325101,N,Medicare and Medicaid,Westchester,10589
335263,CHURCH HOME OF THE PROTESTANT EPISCOPAL CHURCH,505 MT HOPE AVENUE,5855468400,N,Medicare and Medicaid,Monroe,14620
335265,VAN RENSSELAER MANOR,85 BLOOMINGROVE DRIVE,5182832000,N,Medicare and Medicaid,Rensselaer,12180
335266,"WOODCREST REHAB & RESIDENTIAL H C CENTER, L L C",119 09 26TH AVENUE,7187626100,N,Medicare and Medicaid,Queens,11354
335267,ELDERWOOD OF UIHLEIN AT LAKE PLACID,185 OLD MILITARY ROAD,5185856771,N,Medicare and Medicaid,Essex,12946
335269,THE WARTBURG HOME,BRADLEY AVENUE,9146990800,N,Medicare and Medicaid,Westchester,10552
335271,DUMONT CENTER FOR REHABILITATION AND NURSING CARE,676 PELHAM ROAD,9146329600,N,Medicare and Medicaid,Westchester,10805
335273,VERRAZANO NURSING AND POST-ACUTE CENTER,100 CASTLETON AVENUE,7182731300,N,Medicare and Medicaid,Richmond,10301
335274,SAN SIMEON BY THE SOUND CENTER FOR NURSING & REHAB,61700 ROUTE 48,6314772110,N,Medicare and Medicaid,Suffolk,11944
335275,SAPPHIRE NURSING AT WAPPINGERS,37 MESIER AVENUE,8452973793,N,Medicare and Medicaid,Dutchess,12590
335279,MAYFAIR CARE CENTER,100 BALDWIN ROAD,5165387171,N,Medicare and Medicaid,Nassau,11550
335280,TROY CENTER FOR REHABILITATION AND NURSING,49 MARVIN AVENUE,5182736646,N,Medicare and Medicaid,Rensselaer,12180
335281,ABSOLUT CTR FOR NURSING & REHAB AURORA PARK L L C,292 MAIN STREET,7166521560,N,Medicare and Medicaid,Erie,14052
335283,ST CAMILLUS RESIDENTIAL HEALTH CARE FACILITY,813 FAY ROAD,3154882951,N,Medicare and Medicaid,Onondaga,13219
335284,CENTRAL ISLAND HEALTHCARE,825 OLD COUNTRY RD,5164330600,N,Medicare and Medicaid,Nassau,11803
335285,PINE VALLEY CENTER FOR REHABILITATION AND NURSING,661 N MAIN ST,8453560567,N,Medicare and Medicaid,Rockland,10977
335286,CARILLON NURSING AND REHABILITATION CENTER,830 PARK AVENUE,6312715800,N,Medicare and Medicaid,Suffolk,11743
335287,PARK GARDENS REHABILITATION & NURSING CENTER L L C,6585 BROADWAY,7185492200,N,Medicare and Medicaid,Bronx,10471
335288,SHORE VIEW NURSING  & REHABILITATION CENTER,2865 BRIGHTON 3RD STREET,7188914400,N,Medicare and Medicaid,Kings,11235
335289,SOLDIERS AND SAILORS MEMORIAL HOSPITAL E C U,418 NORTH MAIN STREET,3155312731,Y,Medicare and Medicaid,Yates,14527
335290,THE CHATEAU AT BROOKLYN REHAB AND NURSING CENTER,3457 NOSTRAND AVENUE,7185355100,N,Medicare and Medicaid,Kings,11229
335291,WILLOW POINT REHABILITATION AND NURSING CENTER,3700 OLD VESTAL ROAD,6077634400,N,Medicare and Medicaid,Broome,13850
335292,PROMENADE REHABILITATION AND HEALTH CARE CENTER,140 BEACH 114TH STREET,7189454600,N,Medicare and Medicaid,Queens,11694
335294,LONG ISLAND CARE CENTER INC,144-61 38TH AVE,7189397500,N,Medicare and Medicaid,Queens,11354
335296,"THE NEW JEWISH HOME, SARAH NEUMAN",845 PALMER AVENUE,9146986005,N,Medicare and Medicaid,Westchester,10543
335297,THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,41 MAINE AVENUE,5165367730,N,Medicare and Medicaid,Nassau,11570
335299,"NEW GLEN OAKS NURSING HOME, INC",260 01 79TH AVENUE,7183430770,N,Medicare and Medicaid,Queens,11004
335300,FORT HUDSON NURSING CENTER INC,319 UPPER BROADWAY,5187472811,N,Medicare and Medicaid,Washington,12828
335301,ST JAMES REHABILITATION & HEALTHCARE CENTER,275 MORICHES ROAD,6318628000,N,Medicare and Medicaid,Suffolk,11780
335306,GLENS FALLS CENTER FOR REHABILITATION AND NURSING,152 SHERMAN AVENUE,5187932575,N,Medicare and Medicaid,Warren,12801
335308,MERCY HOSPITAL SKILLED NURSING FACILITY,55 MELROY AVENUE,7168195300,Y,Medicare and Medicaid,Erie,14218
335309,STEUBEN CENTER FOR REHABILITATION AND HEALTHCARE,7009 RUMSEY STREET EXTENSION,6077767651,N,Medicare and Medicaid,Steuben,14810
335310,FOREST VIEW CENTER FOR REHABILITATION & NURSING,71 20 110TH STREET,7187933200,N,Medicare and Medicaid,Queens,11375
335311,TOLSTOY FOUNDATION REHABILITATION AND NRSG CENTER,100 LAKE ROAD,8452686813,N,Medicare and Medicaid,Rockland,10989
335312,THE ENCLAVE AT RYE  REHAB AND NURSING CTR,1000 HIGH ST,9149371200,N,Medicare and Medicaid,Westchester,10573
335313,MEDINA MEMORIAL HOSPITAL S N F,200 OHIO STREET,5857982000,Y,Medicare and Medicaid,Orleans,14103
335314,WELLS NURSING HOME INC,201 W MADISON AVENUE,5187624546,N,Medicare and Medicaid,Fulton,12095
335316,ROSCOE REGIONAL REHAB & RESIDENTIAL H C F,420 ROCKLAND ROAD,6074984121,N,Medicare and Medicaid,Sullivan,12776
335317,PARK TERRACE CARE CENTER,59 20 VAN DOREN STREET,7185929200,N,Medicare and Medicaid,Queens,11368
335320,SPRAIN BROOK MANOR REHAB,77 JACKSON AVE,9144723200,N,Medicare and Medicaid,Westchester,10583
335321,SPLIT ROCK REHABILITION AND HEALTH CARE CENTER,3525 BAYCHESTER AVE,7187988900,N,Medicare and Medicaid,Bronx,10466
335322,MAPLE CITY REHABILITATION AND NURSING CENTER,434 MONROE AVENUE,6073247740,N,Medicare and Medicaid,Steuben,14843
335323,THE ELEANOR NURSING CARE CENTER,419 NORTH QUAKER LANE,8452299177,N,Medicare and Medicaid,Dutchess,12538
335325,THE PINES AT GLENS FALLS CTR FOR NURSING & REHAB,170 WARREN STREET,5187935163,N,Medicare and Medicaid,Warren,12801
335326,ELDERWOOD AT WILLIAMSVILLE,200 BASSETT ROAD,7166896681,N,Medicare and Medicaid,Erie,14221
335327,BRIDGE VIEW NURSING HOME,143 10 20TH AVE,7189611212,N,Medicare and Medicaid,Queens,11357
335328,PALM GARDENS CENTER FOR NURSING AND REHABILITATION,615 AVENUE C,7186333300,N,Medicare and Medicaid,Kings,11218
335330,CORNING CENTER FOR REHABILITATION AND HEALTHCARE,205 EAST FIRST STREET,6076542400,N,Medicare and Medicaid,Steuben,14830
335331,GRANVILLE CENTER FOR REHABILITATION AND NURSING,17 MADISON STREET,5186422710,N,Medicare and Medicaid,Washington,12832
335332,EGER HEALTH CARE AND REHABILITATION CENTER,140 MEISNER AVENUE,7189791800,N,Medicare and Medicaid,Richmond,10306
335333,HOLLIS PARK MANOR NURSING HOME,191 06 HILLSIDE AVENUE,7184791010,N,Medicare and Medicaid,Queens,11423
335334,THE RIVERSIDE,150 RIVERSIDE DRIVE,6465053500,N,Medicare and Medicaid,New York,10024
335336,MARGARET TIETZ CENTER FOR NURSING CARE INC,164 11 CHAPIN PARKWAY,7182987800,N,Medicare and Medicaid,Queens,11432
335337,SCHAFFER EXTENDED CARE CENTER,16 GUION PLACE,9146371200,Y,Medicare and Medicaid,Westchester,10802
335338,BISHOP REHABILITATION AND NURSING CENTER,918 JAMES STREET,3154741561,N,Medicare and Medicaid,Onondaga,13203
335339,MOUNTAINSIDE RESIDENTIAL CARE CENTER,42158 STATE HIGHWAY 28,8455861800,Y,Medicare and Medicaid,Delaware,12455
335340,"THE COTTAGES AT GARDEN GROVE, A SKILLED NRSG COMM",5460 MELTZER COURT,3156991619,N,Medicare and Medicaid,Onondaga,13039
335341,THE HURLBUT,1177 EAST HENRIETTA RD,5854244770,N,Medicare and Medicaid,Monroe,14623
335342,NORTH WESTCHESTER RESTORATIVE THERAPY & NRSG CRT,3550 LEXINGTON AVENUE,9145282000,N,Medicare and Medicaid,Westchester,10547
335344,CHASEHEALTH REHAB AND RESIDENTIAL CARE,ONE TERRACE HEIGHTS,6078477000,N,Medicare and Medicaid,Chenango,13411
335345,M M EWING CONTINUING CARE CENTER,350 PARRISH STREET,5853966040,Y,Medicare and Medicaid,Ontario,14424
335346,ELDERWOOD AT WAVERLY,37 NORTH CHEMUNG STREET,6075652861,N,Medicare and Medicaid,Tioga,14892
335347,MORRIS PARK REHABILITATION AND NURSING CENTER,1235 PELHAM PARKWAY NORTH,7182314300,N,Medicare and Medicaid,Bronx,10469
335349,CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,119 - 19 GRAHAM COURT,7188860700,N,Medicare and Medicaid,Queens,11354
335350,SUTTON PARK CENTER FOR NURSING AND REHABILITATION,31 LOCKWOOD AVENUE,9145760600,N,Medicare and Medicaid,Westchester,10801
335351,NATHAN LITTAUER HOSPITAL NURSING HOME,99 EAST STATE STREET,5187735622,Y,Medicare and Medicaid,Fulton,12078
335353,HERITAGE VILLAGE REHAB AND SKILLED NURSING INC.,4570 ROUTE 60,7169854612,N,Medicare and Medicaid,Chautauqua,14740
335357,THE PINES HEALTHCARE & REHAB CENTERS OLEAN CAMPUS,2245 WEST STATE STREET,7163731910,N,Medicare and Medicaid,Cattaraugus,14760
335358,BRONX PARK REHABILITATION & NURSING CENTER,3845 CARPENTER AVE,7187981100,N,Medicare and Medicaid,Bronx,10467
335361,CLIFTON SPRINGS HOSPITAL AND CLINIC EXTENDED CARE,2 COULTER ROAD,3154620582,N,Medicare and Medicaid,Ontario,14432
335363,OZANAM HALL OF QUEENS NURSING HOME INC,42 41 201ST STREET,7184232000,N,Medicare and Medicaid,Queens,11361
