WorkDate,day_of_week,CNA_contract_hours
2024-02-14,Wednesday,0.0
2024-02-15,Thursday,12.5
2024-02-16,Friday,12.5
2024-02-17,Saturday,24.0
2024-02-18,Sunday,37.03
2024-02-19,Monday,0.0
2024-02-20,Tuesday,12.83
2024-02-21,Wednesday,12.0
2024-02-22,Thursday,6.5
2024-02-23,Friday,40.64
2024-02-24,Saturday,23.5
2024-02-25,Sunday,7.07
2024-02-26,Monday,7.5
2024-02-27,Tuesday,13.5
2024-02-28,Wednesday,27.66
2024-02-29,Thursday,20.96
2024-03-01,Friday,12.45
2024-03-02,Saturday,29.25
2024-03-03,Sunday,22.0
2024-03-04,Monday,49.0
2024-03-05,Tuesday,39.87
2024-03-06,Wednesday,45.16
2024-03-07,Thursday,24.43
2024-03-08,Friday,24.68
2024-03-09,Saturday,32.0
2024-03-10,Sunday,51.83
2024-03-11,Monday,29.47
2024-03-12,Tuesday,24.98
2024-03-13,Wednesday,19.5
2024-03-14,Thursday,19.03
2024-03-15,Friday,30.96
2024-03-16,Saturday,24.5
2024-03-17,Sunday,32.77
2024-03-18,Monday,17.02
2024-03-19,Tuesday,10.5
2024-03-20,Wednesday,22.1
2024-03-21,Thursday,0.0
2024-03-22,Friday,11.33
2024-03-23,Saturday,23.5
2024-03-24,Sunday,29.55
2024-03-25,Monday,13.38
2024-03-26,Tuesday,14.05
2024-03-27,Wednesday,0.0
2024-03-28,Thursday,16.0
2024-03-29,Friday,22.5
2024-03-30,Saturday,13.5
2024-03-31,Sunday,0.0
2024-01-01,Monday,227.0
2024-01-02,Tuesday,292.75
2024-01-03,Wednesday,443.75
2024-01-04,Thursday,385.0
2024-01-05,Friday,331.75
2024-01-06,Saturday,332.5
2024-01-07,Sunday,182.75
2024-01-08,Monday,285.5
2024-01-09,Tuesday,396.75
2024-01-10,Wednesday,466.5
2024-01-11,Thursday,474.75
2024-01-12,Friday,426.25
2024-01-13,Saturday,349.0
2024-01-14,Sunday,169.5
2024-01-15,Monday,328.75
2024-01-16,Tuesday,360.75
2024-01-17,Wednesday,361.25
2024-01-18,Thursday,313.25
2024-01-19,Friday,316.0
2024-01-20,Saturday,226.25
2024-01-21,Sunday,161.75
2024-01-22,Monday,289.75
2024-01-23,Tuesday,341.5
2024-01-24,Wednesday,411.75
2024-01-25,Thursday,416.75
2024-01-26,Friday,396.0
2024-01-27,Saturday,261.0
2024-01-28,Sunday,184.25
2024-01-29,Monday,351.75
2024-01-30,Tuesday,373.75
2024-01-31,Wednesday,373.0
2024-02-01,Thursday,381.75
2024-02-02,Friday,349.75
2024-02-03,Saturday,291.0
2024-02-04,Sunday,215.5
2024-02-05,Monday,361.75
2024-02-06,Tuesday,328.0
2024-02-07,Wednesday,368.25
2024-02-08,Thursday,339.0
2024-02-09,Friday,338.5
2024-02-10,Saturday,251.0
2024-02-11,Sunday,143.5
2024-02-12,Monday,359.5
2024-02-13,Tuesday,260.25
2024-02-14,Wednesday,347.5
2024-02-15,Thursday,347.5
2024-02-16,Friday,358.5
2024-02-17,Saturday,296.0
2024-02-18,Sunday,199.25
2024-02-19,Monday,319.0
2024-02-20,Tuesday,350.0
2024-02-21,Wednesday,369.75
2024-02-22,Thursday,401.5
2024-02-23,Friday,245.0
2024-02-24,Saturday,203.25
2024-02-25,Sunday,163.75
2024-02-26,Monday,291.0
2024-02-27,Tuesday,381.0
2024-02-28,Wednesday,370.5
2024-02-29,Thursday,342.0
2024-03-01,Friday,242.5
2024-03-02,Saturday,259.5
2024-03-03,Sunday,195.25
2024-03-04,Monday,249.0
2024-03-05,Tuesday,337.0
2024-03-06,Wednesday,339.0
2024-03-07,Thursday,382.0
2024-03-08,Friday,319.5
2024-03-09,Saturday,244.75
2024-03-10,Sunday,152.0
2024-03-11,Monday,262.5
2024-03-12,Tuesday,369.75
2024-03-13,Wednesday,345.75
2024-03-14,Thursday,355.5
2024-03-15,Friday,364.0
2024-03-16,Saturday,267.25
2024-03-17,Sunday,219.25
2024-03-18,Monday,331.25
2024-03-19,Tuesday,338.75
2024-03-20,Wednesday,295.0
2024-03-21,Thursday,310.25
2024-03-22,Friday,270.25
2024-03-23,Saturday,240.5
2024-03-24,Sunday,219.75
2024-03-25,Monday,288.0
2024-03-26,Tuesday,360.0
2024-03-27,Wednesday,297.5
2024-03-28,Thursday,279.5
2024-03-29,Friday,210.25
2024-03-30,Saturday,250.5
2024-03-31,Sunday,172.0
2024-01-01,Monday,48.5
2024-01-02,Tuesday,77.5
2024-01-03,Wednesday,73.75
2024-01-04,Thursday,104.75
2024-01-05,Friday,63.75
2024-01-06,Saturday,19.5
2024-01-07,Sunday,37.25
2024-01-08,Monday,53.25
2024-01-09,Tuesday,86.25
2024-01-10,Wednesday,66.25
2024-01-11,Thursday,82.0
2024-01-12,Friday,55.0
2024-01-13,Saturday,58.25
2024-01-14,Sunday,46.25
2024-01-15,Monday,76.25
2024-01-16,Tuesday,90.5
2024-01-17,Wednesday,72.5
2024-01-18,Thursday,96.75
2024-01-19,Friday,59.5
2024-01-20,Saturday,70.0
2024-01-21,Sunday,71.5
2024-01-22,Monday,46.5
2024-01-23,Tuesday,87.5
2024-01-24,Wednesday,79.25
2024-01-25,Thursday,74.75
2024-01-26,Friday,56.5
2024-01-27,Saturday,44.75
2024-01-28,Sunday,34.5
2024-01-29,Monday,54.0
2024-01-30,Tuesday,94.0
2024-01-31,Wednesday,82.75
2024-02-01,Thursday,64.5
2024-02-02,Friday,69.5
2024-02-03,Saturday,50.25
2024-02-04,Sunday,26.75
2024-02-05,Monday,59.0
2024-02-06,Tuesday,49.75
2024-02-07,Wednesday,53.25
2024-02-08,Thursday,61.0
2024-02-09,Friday,58.25
2024-02-10,Saturday,34.0
2024-02-11,Sunday,31.25
2024-02-12,Monday,38.25
2024-02-13,Tuesday,64.5
2024-02-14,Wednesday,63.0
2024-02-15,Thursday,81.75
2024-02-16,Friday,50.0
2024-02-17,Saturday,43.75
2024-02-18,Sunday,53.25
2024-02-19,Monday,48.25
2024-02-20,Tuesday,54.25
2024-02-21,Wednesday,59.5
2024-02-22,Thursday,61.75
2024-02-23,Friday,47.75
2024-02-24,Saturday,30.75
2024-02-25,Sunday,20.0
2024-02-26,Monday,46.0
2024-02-27,Tuesday,57.0
2024-02-28,Wednesday,51.5
2024-02-29,Thursday,73.75
2024-03-01,Friday,37.5
2024-03-02,Saturday,50.5
2024-03-03,Sunday,66.75
2024-03-04,Monday,57.5
2024-03-05,Tuesday,53.25
2024-03-06,Wednesday,61.25
2024-03-07,Thursday,73.0
2024-03-08,Friday,40.5
2024-03-09,Saturday,42.75
2024-03-10,Sunday,23.5
2024-03-11,Monday,60.75
2024-03-12,Tuesday,61.5
2024-03-13,Wednesday,73.5
2024-03-14,Thursday,68.25
2024-03-15,Friday,39.5
2024-03-16,Saturday,9.25
2024-03-17,Sunday,34.0
2024-03-18,Monday,49.5
2024-03-19,Tuesday,53.5
2024-03-20,Wednesday,59.5
2024-03-21,Thursday,57.75
2024-03-22,Friday,34.75
2024-03-23,Saturday,30.25
2024-03-24,Sunday,6.25
2024-03-25,Monday,28.5
2024-03-26,Tuesday,59.75
2024-03-27,Wednesday,66.0
2024-03-28,Thursday,64.0
2024-03-29,Friday,6.0
2024-03-30,Saturday,3.75
2024-03-31,Sunday,13.75
2024-01-01,Monday,266.86
2024-01-02,Tuesday,127.04
2024-01-03,Wednesday,82.87
2024-01-04,Thursday,133.69
2024-01-05,Friday,81.86
2024-01-06,Saturday,153.72
2024-01-07,Sunday,149.5
2024-01-08,Monday,141.32
2024-01-09,Tuesday,120.58
2024-01-10,Wednesday,111.0
2024-01-11,Thursday,71.33
2024-01-12,Friday,77.35
2024-01-13,Saturday,110.82
2024-01-14,Sunday,164.35
2024-01-15,Monday,127.63
2024-01-16,Tuesday,103.0
2024-01-17,Wednesday,75.71
2024-01-18,Thursday,84.3
2024-01-19,Friday,76.56
2024-01-20,Saturday,112.95
2024-01-21,Sunday,112.22
2024-01-22,Monday,75.34
2024-01-23,Tuesday,84.78
2024-01-24,Wednesday,81.96
2024-01-25,Thursday,177.45
2024-01-26,Friday,85.52
2024-01-27,Saturday,97.21
2024-01-28,Sunday,109.46
2024-01-29,Monday,109.5
2024-01-30,Tuesday,52.48
2024-01-31,Wednesday,58.14
2024-02-01,Thursday,111.97
2024-02-02,Friday,82.97
2024-02-03,Saturday,128.15
2024-02-04,Sunday,153.92
2024-02-05,Monday,97.54
2024-02-06,Tuesday,80.63
2024-02-07,Wednesday,81.78
2024-02-08,Thursday,75.16
2024-02-09,Friday,68.86
2024-02-10,Saturday,158.61
2024-02-11,Sunday,123.69
2024-02-12,Monday,110.05
2024-02-13,Tuesday,124.52
2024-02-14,Wednesday,80.94
2024-02-15,Thursday,59.62
2024-02-16,Friday,60.01
2024-02-17,Saturday,114.05
2024-02-18,Sunday,153.79
2024-02-19,Monday,98.17
2024-02-20,Tuesday,80.99
2024-02-21,Wednesday,90.26
2024-02-22,Thursday,89.42
2024-02-23,Friday,98.03
2024-02-24,Saturday,95.34
2024-02-25,Sunday,134.97
2024-02-26,Monday,84.32
2024-02-27,Tuesday,69.27
2024-02-28,Wednesday,74.56
2024-02-29,Thursday,82.77
2024-03-01,Friday,90.28
2024-03-02,Saturday,121.7
2024-03-03,Sunday,102.46
2024-03-04,Monday,129.33
2024-03-05,Tuesday,75.36
2024-03-06,Wednesday,75.91
2024-03-07,Thursday,68.34
2024-03-08,Friday,74.63
2024-03-09,Saturday,95.81
2024-03-10,Sunday,154.07
2024-03-11,Monday,114.25
2024-03-12,Tuesday,74.48
2024-03-13,Wednesday,60.26
2024-03-14,Thursday,83.62
2024-03-15,Friday,52.94
2024-03-16,Saturday,85.3
2024-03-17,Sunday,98.29
2024-03-18,Monday,82.18
2024-03-19,Tuesday,105.93
2024-03-20,Wednesday,74.32
2024-03-21,Thursday,91.67
2024-03-22,Friday,45.08
2024-03-23,Saturday,105.65
2024-03-24,Sunday,156.55
2024-03-25,Monday,68.16
2024-03-26,Tuesday,68.48
2024-03-27,Wednesday,65.39
2024-03-28,Thursday,78.49
2024-03-29,Friday,112.89
2024-03-30,Saturday,126.96
2024-03-31,Sunday,187.14
2024-01-01,Monday,0.0
2024-01-02,Tuesday,0.0
2024-01-03,Wednesday,0.0
2024-01-04,Thursday,0.0
2024-01-05,Friday,0.0
2024-01-06,Saturday,0.0
2024-01-07,Sunday,0.0
2024-01-08,Monday,0.0
2024-01-09,Tuesday,0.0
2024-01-10,Wednesday,0.0
2024-01-11,Thursday,0.0
2024-01-12,Friday,0.0
2024-01-13,Saturday,0.0
2024-01-14,Sunday,0.0
2024-01-15,Monday,0.0
2024-01-16,Tuesday,0.0
2024-01-17,Wednesday,0.0
2024-01-18,Thursday,0.0
2024-01-19,Friday,0.0
2024-01-20,Saturday,0.0
2024-01-21,Sunday,0.0
2024-01-22,Monday,0.0
2024-01-23,Tuesday,0.0
2024-01-24,Wednesday,0.0
2024-01-25,Thursday,0.0
2024-01-26,Friday,0.0
2024-01-27,Saturday,0.0
2024-01-28,Sunday,0.0
2024-01-29,Monday,0.0
2024-01-30,Tuesday,0.0
2024-01-31,Wednesday,0.0
2024-02-01,Thursday,0.0
2024-02-02,Friday,0.0
2024-02-03,Saturday,0.0
2024-02-04,Sunday,0.0
2024-02-05,Monday,0.0
2024-02-06,Tuesday,0.0
2024-02-07,Wednesday,0.0
2024-02-08,Thursday,0.0
2024-02-09,Friday,0.0
2024-02-10,Saturday,0.0
2024-02-11,Sunday,0.0
2024-02-12,Monday,0.0
2024-02-13,Tuesday,0.0
2024-02-14,Wednesday,0.0
2024-02-15,Thursday,0.0
2024-02-16,Friday,0.0
2024-02-17,Saturday,0.0
2024-02-18,Sunday,0.0
2024-02-19,Monday,0.0
2024-02-20,Tuesday,0.0
2024-02-21,Wednesday,0.0
2024-02-22,Thursday,0.0
2024-02-23,Friday,0.0
2024-02-24,Saturday,0.0
2024-02-25,Sunday,0.0
2024-02-26,Monday,0.0
2024-02-27,Tuesday,0.0
2024-02-28,Wednesday,0.0
2024-02-29,Thursday,0.0
2024-03-01,Friday,0.0
2024-03-02,Saturday,0.0
2024-03-03,Sunday,0.0
2024-03-04,Monday,0.0
2024-03-05,Tuesday,0.0
2024-03-06,Wednesday,0.0
2024-03-07,Thursday,0.0
2024-03-08,Friday,0.0
2024-03-09,Saturday,0.0
2024-03-10,Sunday,0.0
2024-03-11,Monday,0.0
2024-03-12,Tuesday,0.0
2024-03-13,Wednesday,0.0
2024-03-14,Thursday,0.0
2024-03-15,Friday,0.0
2024-03-16,Saturday,0.0
2024-03-17,Sunday,0.0
2024-03-18,Monday,0.0
2024-03-19,Tuesday,0.0
2024-03-20,Wednesday,0.0
2024-03-21,Thursday,0.0
2024-03-22,Friday,0.0
2024-03-23,Saturday,0.0
2024-03-24,Sunday,0.0
2024-03-25,Monday,0.0
2024-03-26,Tuesday,0.0
2024-03-27,Wednesday,0.0
2024-03-28,Thursday,0.0
2024-03-29,Friday,0.0
2024-03-30,Saturday,0.0
2024-03-31,Sunday,0.0
2024-01-01,Monday,0.0
2024-01-02,Tuesday,0.0
2024-01-03,Wednesday,0.0
2024-01-04,Thursday,0.0
2024-01-05,Friday,0.0
2024-01-06,Saturday,0.0
2024-01-07,Sunday,0.0
2024-01-08,Monday,0.0
2024-01-09,Tuesday,0.0
2024-01-10,Wednesday,0.0
2024-01-11,Thursday,0.0
2024-01-12,Friday,0.0
2024-01-13,Saturday,0.0
2024-01-14,Sunday,0.0
2024-01-15,Monday,0.0
2024-01-16,Tuesday,0.0
2024-01-17,Wednesday,0.0
2024-01-18,Thursday,0.0
2024-01-19,Friday,0.0
2024-01-20,Saturday,0.0
2024-01-21,Sunday,0.0
2024-01-22,Monday,0.0
2024-01-23,Tuesday,0.0
2024-01-24,Wednesday,0.0
2024-01-25,Thursday,0.0
2024-01-26,Friday,0.0
2024-01-27,Saturday,0.0
2024-01-28,Sunday,0.0
2024-01-29,Monday,0.0
2024-01-30,Tuesday,0.0
2024-01-31,Wednesday,0.0
2024-02-01,Thursday,0.0
2024-02-02,Friday,0.0
2024-02-03,Saturday,0.0
2024-02-04,Sunday,0.0
2024-02-05,Monday,0.0
2024-02-06,Tuesday,0.0
2024-02-07,Wednesday,0.0
2024-02-08,Thursday,0.0
2024-02-09,Friday,0.0
2024-02-10,Saturday,0.0
2024-02-11,Sunday,0.0
2024-02-12,Monday,0.0
2024-02-13,Tuesday,0.0
2024-02-14,Wednesday,0.0
2024-02-15,Thursday,0.0
2024-02-16,Friday,0.0
2024-02-17,Saturday,0.0
2024-02-18,Sunday,0.0
2024-02-19,Monday,0.0
2024-02-20,Tuesday,0.0
2024-02-21,Wednesday,0.0
2024-02-22,Thursday,0.0
